;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;                            ;;
;; CGPE 2021: Opinion Lexicon ;;
;;                            ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

palabra	sentimiento	n
deuda	negativo	
económico	positivo	
recuperación	positivo	
crédito	positivo	
pandemia	negativo	
largo	negativo	
disminución	negativo	
riesgo	negativo	
ahorro	positivo	
capacidad	positivo	
importante	positivo	
protección	positivo	
valor	positivo	
apoyo	positivo	
particularmente	negativo	
situación	negativo	
trabajo	negativo	
mejorar	positivo	
cumplimiento	positivo	
enfermedad	negativo	
estabilidad	positivo	
asegurar	positivo	
reforma	positivo	
superior	positivo	
crudo	negativo	
seguro	positivo	
límite	negativo	
eficiente	positivo	
puntual	positivo	
emergencia	negativo	
evitar	negativo	
significativo	positivo	
volatilidad	negativo	
caída	negativo	
cobertura	negativo	
pérdida	negativo	
aprobación	positivo	
desigualdad	negativo	
esfuerzos	negativo	
bruto	negativo	
contención	negativo	
favorable	positivo	
flexible	positivo	
responsabilidad	negativo	
aversión	negativo	
parcial	negativo	
rápidamente	positivo	
realizado	positivo	
complejo	negativo	
crisis	negativo	
dinámica	positivo	
elevar	positivo	
energético	positivo	
fabricación	negativo	
integral	positivo	
lograr	positivo	
mejora	positivo	
prudente	positivo	
rápido	positivo	
suficiente	positivo	
virus	negativo	
acumulación	negativo	
apoyado	positivo	
consideración	positivo	
consistente	positivo	
corrupción	negativo	
equilibrado	positivo	
evasión	negativo	
flexibilidad	positivo	
inteligente	positivo	
pasivo	negativo	
pena	negativo	
pobreza	negativo	
proteger	positivo	
satisfacer	positivo	
adecuado	positivo	
afectado	positivo	
considerado	positivo	
continuidad	positivo	
desastre	negativo	
deterioro	negativo	
equilibrio	positivo	
estable	positivo	
estímulo	positivo	
estrés	negativo	
facilitar	positivo	
falta	negativo	
fortaleza	positivo	
garantía	positivo	
honestidad	positivo	
humano	positivo	
inestabilidad	negativo	
inferior	negativo	
lamentable	negativo	
objeto	negativo	
ordenado	positivo	
pacífico	positivo	
paz	positivo	
popular	positivo	
prima	positivo	
problema	negativo	
recesión	negativo	
reforzar	positivo	
sólido	positivo	
solvencia	positivo	
tesoro	positivo	
usado	negativo	
ahorros	positivo	
atracción	positivo	
austero	negativo	
beneficio	positivo	
brote	negativo	
confianza	positivo	
crítico	negativo	
decremento	negativo	
depresión	negativo	
disposición	positivo	
equitativo	positivo	
favorecer	positivo	
firme	negativo	
fuerte	negativo	
ganancia	positivo	
incumplimiento	negativo	
innovación	positivo	
notablemente	positivo	
optimismo	positivo	
previsión	positivo	
prudencia	positivo	
sensible	positivo	
solidaridad	positivo	
unidad	positivo	
ventaja	positivo	
vulnerable	negativo	
adaptable	positivo	
adverso	negativo	
ágil	positivo	
aislamiento	negativo	
alivio	positivo	
aprobar	positivo	
ausencia	negativo	
avanzado	positivo	
caer	negativo	
calificado	positivo	
carga	negativo	
choque	negativo	
conveniencia	positivo	
crimen	negativo	
crítica	negativo	
crónico	negativo	
cumplido	positivo	
dados	negativo	
depósito	negativo	
destino	positivo	
destrucción	negativo	
desventaja	negativo	
dificultades	negativo	
dignidad	positivo	
dolor	negativo	
duda	negativo	
espectro	negativo	
excelencia	positivo	
éxito	positivo	
extraordinariamente	negativo	
facilidad	positivo	
fácilmente	positivo	
gracia	positivo	
imprevisto	negativo	
incierto	negativo	
inseguridad	negativo	
inteligencia	positivo	
interrupción	negativo	
irrestricto	positivo	
latente	negativo	
legal	positivo	
libertad	positivo	
limitado	negativo	
logro	positivo	
negativa	negativo	
negativo	negativo	
palanca	negativo	
perder	negativo	
perdido	negativo	
preciso	positivo	
premio	positivo	
puesto	negativo	
residuos	negativo	
respeto	positivo	
severo	negativo	
terrorismo	negativo	
tranquilidad	positivo	
verdadero	positivo	
virtuoso	positivo	
